,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
42,01/01/2021 00:23,483,"Albert Gardens, Stepney",21-01-01 00:09,763,"Mile End Park Leisure Centre, Mile End",51.52059714,-0.032566533,51.51328,-0.047784
41,01/01/2021 00:13,842,"Temple Gardens, Temple",21-01-01 00:09,659,"Blackfriars Station, St. Paul's",51.511934,-0.10307894,51.510981,-0.10832249
38,01/01/2021 00:19,600,"South Lambeth Road, Vauxhall",21-01-01 00:09,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,51.481747,-0.124642
39,01/01/2021 00:19,352,"Vauxhall Street, Vauxhall",21-01-01 00:09,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,51.486965,-0.116625
40,01/01/2021 00:29,338,"Wellington Street , Strand",21-01-01 00:09,100,"Albert Embankment, Vauxhall",51.49043573,-0.122806861,51.51175646,-0.119643424
43,01/01/2021 00:37,37,"Penywern Road, Earl's Court",21-01-01 00:10,155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,51.49159394,-0.192369256
44,01/01/2021 00:38,37,"Penywern Road, Earl's Court",21-01-01 00:10,155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,51.49159394,-0.192369256
45,01/01/2021 00:30,783,"Monier Road, Hackney Wick",21-01-01 00:10,459,"Gunmakers Lane, Old Ford",51.535179,-0.03338,51.5403115,-0.021630359
46,01/01/2021 00:30,783,"Monier Road, Hackney Wick",21-01-01 00:10,459,"Gunmakers Lane, Old Ford",51.535179,-0.03338,51.5403115,-0.021630359
47,01/01/2021 00:27,564,"Somerset House, Strand",21-01-01 00:10,267,"Regency Street, Westminster",51.49206037,-0.132224622,51.509943,-0.117619
48,01/01/2021 00:27,564,"Somerset House, Strand",21-01-01 00:10,267,"Regency Street, Westminster",51.49206037,-0.132224622,51.509943,-0.117619
49,01/01/2021 00:24,164,"Cleveland Gardens, Bayswater",21-01-01 00:10,248,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,51.515607,-0.183118788
50,01/01/2021 00:24,239,"Warren Street Station, Euston",21-01-01 00:10,514,"Portman Square, Marylebone",51.516204,-0.155525,51.52443845,-0.138019439
